Array	IC_Pseudomonadota_motif_4_1	IC_Pseudomonadota_motif_4_1_pvalue
Random_seq_175	186	0.659622756288
Random_seq_186	129	0.545583977879
Random_seq_196	69	0.637807617713
Random_seq_214	89	0.571827861759
Random_seq_236	131	0.555175595226
Random_seq_248	159	0.592682448707
Random_seq_271	185	0.549289300873
Random_seq_30	165	0.682302353147
Random_seq_322	88	0.550671465382
Random_seq_339	138	0.556242354978
Random_seq_383	8	0.578176771167
Random_seq_442	127	0.591971286424
Random_seq_501	79	0.551374953067
Random_seq_513	61	0.60014994109
Random_seq_591	127	0.554499923612
Random_seq_603	106	0.793387377195
Random_seq_616	122	0.578625493584
Random_seq_637	54	0.68668071369
Random_seq_69	133	0.63221575326
Random_seq_744	156	0.62031490867
Random_seq_813	58	0.5939846761
Random_seq_821	121	0.597605578385
Random_seq_824	6	0.547872241108
