Array	IB_Bacteroidota_motif_2_1	IB_Bacteroidota_motif_2_1_pvalue
Random_seq_124	98	0.660470149942
Random_seq_131	27	0.646690196147
Random_seq_214	81	0.609050219416
Random_seq_215	52	0.571822801328
Random_seq_264	34	0.769139657176
Random_seq_348	40	0.645393015298
Random_seq_36	156	0.569285995856
Random_seq_535	115	0.566710948051
Random_seq_624	23	0.592510508307
Random_seq_730	180	0.587079096233
Random_seq_746	100	0.643622399826
Random_seq_787	19	0.613582747735
Random_seq_844	111	0.612529224993
Random_seq_88	163	0.567699390065
Random_seq_960	8	0.560084015422
