Array	IE_Pseudomonadota_motif_5_1	IE_Pseudomonadota_motif_5_1_pvalue
Random_seq_100	77	0.290393518
Random_seq_109	159	0.300905236566
Random_seq_111	141	0.297276010703
Random_seq_181	133	0.289797982296
Random_seq_184	104	0.31929151817
Random_seq_219	45	0.26875332526
Random_seq_247	162	0.276289908172
Random_seq_250	63	0.342583130051
Random_seq_296	37	0.284939541817
Random_seq_35	114	0.302979300361
Random_seq_372	176	0.281291509878
Random_seq_426	33	0.262115228584
Random_seq_436	54	0.30153710005
Random_seq_441	171	0.290393518
Random_seq_517	178	0.373362696887
Random_seq_519	106	0.279896002201
Random_seq_523	56	0.263867010781
Random_seq_563	183	0.30115628057
Random_seq_564	111	0.284102256869
Random_seq_591	139	0.293099136728
Random_seq_639	128	0.286096177567
Random_seq_652	149	0.272269850124
Random_seq_659	81	0.284517782783
Random_seq_725	53	0.270861518609
Random_seq_730	129	0.261802469611
Random_seq_731	129	0.285224270749
Random_seq_755	64	0.275621042883
Random_seq_773	71	0.271600903225
Random_seq_851	67	0.294062132968
Random_seq_870	19	0.295571443868
Random_seq_887	62	0.276551461144
Random_seq_905	133	0.300532823946
Random_seq_908	82	0.267621478463
Random_seq_934	161	0.26997421496
Random_seq_957	41	0.26284805767
