Array	ID_Euryarchaeota_motif_4_1	ID_Euryarchaeota_motif_4_1_pvalue
Random_seq_202	106	0.377369600344
Random_seq_246	143	0.402883397446
Random_seq_30	135	0.413571245584
Random_seq_367	133	0.429166741471
Random_seq_384	39	0.480318232045
Random_seq_39	63	0.429166741471
Random_seq_40	122	0.43620889355
Random_seq_410	165	0.405160681978
Random_seq_423	86	0.37929575969
Random_seq_424	173	0.389072251765
Random_seq_444	107	0.428659851615
Random_seq_465	136	0.441618775174
Random_seq_500	141	0.392140890022
Random_seq_543	128	0.432349754248
Random_seq_550	82	0.417193192042
Random_seq_595	16	0.408786447701
Random_seq_61	178	0.464959038229
Random_seq_637	120	0.373302943352
Random_seq_703	38	0.387049305356
Random_seq_727	175	0.504332461997
Random_seq_774	36	0.42605912913
Random_seq_775	140	0.373558799528
Random_seq_791	38	0.397347762591
Random_seq_83	92	0.39704014879
Random_seq_873	129	0.393311002304
Random_seq_91	82	0.399897052762
Random_seq_967	117	0.40200733659
Random_seq_982	66	0.380395751895
Random_seq_988	101	0.434233144313
