Array	IF_Pseudomonadota_motif_5_1	IF_Pseudomonadota_motif_5_1_pvalue
Random_seq_119	96	0.369761357353
Random_seq_224	88	0.358554940528
Random_seq_275	35	0.355298846274
Random_seq_385	118	0.416229500343
Random_seq_472	138	0.507014937547
Random_seq_490	86	0.399482985345
Random_seq_514	13	0.378485530944
Random_seq_535	63	0.366428669468
Random_seq_541	122	0.392632097165
Random_seq_560	146	0.386729184886
Random_seq_583	102	0.44014189833
Random_seq_606	11	0.424006238112
Random_seq_698	89	0.391765087712
Random_seq_727	37	0.381908172957
Random_seq_797	126	0.413084908859
Random_seq_857	71	0.430595382449
Random_seq_9	190	0.386197254344
Random_seq_968	51	0.363366724845
