Array	IE_Actinomycetota_motif_9_1	IE_Actinomycetota_motif_9_1_pvalue
Random_seq_127	76	0.469080910401
Random_seq_249	41	0.359930915507
Random_seq_29	104	0.335891073385
Random_seq_318	113	0.368237356787
Random_seq_371	78	0.352421683283
Random_seq_423	34	0.343413317368
Random_seq_445	177	0.392391336859
Random_seq_477	120	0.338483623329
Random_seq_500	64	0.337681948044
Random_seq_517	116	0.44036227849
Random_seq_526	50	0.35954651357
Random_seq_579	20	0.364191956965
Random_seq_672	160	0.402902093319
Random_seq_678	120	0.337020394575
Random_seq_699	59	0.425275376014
Random_seq_718	89	0.414143381694
Random_seq_720	157	0.339478515571
Random_seq_785	47	0.348387176
Random_seq_839	147	0.387929491024
Random_seq_841	158	0.344911250186
