Array	IE_Actinomycetota_motif_4_1	IE_Actinomycetota_motif_4_1_pvalue
Random_seq_119	177	0.495945080588
Random_seq_123	58	0.506450723692
Random_seq_128	61	0.481341174719
Random_seq_147	89	0.562137283052
Random_seq_166	113	0.474595762035
Random_seq_192	96	0.515438901244
Random_seq_222	117	0.472405870331
Random_seq_226	176	0.488962723859
Random_seq_324	22	0.474257714693
Random_seq_329	10	0.577996329968
Random_seq_337	55	0.480038025279
Random_seq_35	107	0.48034159877
Random_seq_355	190	0.555873334953
Random_seq_393	108	0.481341174719
Random_seq_491	66	0.470557745723
Random_seq_5	27	0.46561807618
Random_seq_534	59	0.498071705328
Random_seq_562	37	0.48212395048
Random_seq_591	121	0.518615885923
Random_seq_60	87	0.488422699174
Random_seq_652	151	0.635435033504
Random_seq_671	154	0.468235330744
Random_seq_685	32	0.476673637352
Random_seq_708	96	0.496153707637
Random_seq_715	174	0.479212604305
Random_seq_77	62	0.499953505709
Random_seq_779	83	0.488422699174
Random_seq_824	91	0.484797928488
Random_seq_843	160	0.481108718392
Random_seq_869	83	0.463510144835
Random_seq_89	43	0.478547277714
Random_seq_950	156	0.477818291164
Random_seq_955	151	0.512743012707
Random_seq_96	97	0.477314268759
Random_seq_988	104	0.489326017211
