Array	IC_Actinomycetota_motif_6_1	IC_Actinomycetota_motif_6_1_pvalue
Random_seq_108	86	0.511296862226
Random_seq_109	181	0.51559796283
Random_seq_13	119	0.580456895101
Random_seq_147	86	0.499642609627
Random_seq_186	67	0.546566960673
Random_seq_214	90	0.460109943185
Random_seq_227	126	0.48320909893
Random_seq_23	20	0.49556475496
Random_seq_241	131	0.479417540731
Random_seq_247	13	0.531351752214
Random_seq_254	168	0.557398544902
Random_seq_288	15	0.478676685534
Random_seq_335	60	0.580456895101
Random_seq_391	53	0.568190425213
Random_seq_396	106	0.499767809039
Random_seq_414	136	0.526591340118
Random_seq_475	41	0.45749053867
Random_seq_477	161	0.564324447147
Random_seq_50	65	0.500653228494
Random_seq_518	73	0.460844005187
Random_seq_556	98	0.550267849307
Random_seq_558	39	0.45711991726
Random_seq_561	80	0.459331458375
Random_seq_567	68	0.477466159225
Random_seq_576	94	0.527905176436
Random_seq_622	168	0.553891978485
Random_seq_626	176	0.507195325567
Random_seq_635	103	0.562949494407
Random_seq_646	52	0.702161181702
Random_seq_664	39	0.645509999782
Random_seq_677	117	0.475359455937
Random_seq_712	58	0.510981053823
Random_seq_727	156	0.455256697396
Random_seq_740	30	0.458782834197
Random_seq_744	93	0.474376373052
Random_seq_762	130	0.541053219089
Random_seq_768	154	0.559460182199
Random_seq_802	67	0.498775010866
Random_seq_818	170	0.492985971395
Random_seq_820	57	0.476518708061
Random_seq_824	88	0.511774403368
Random_seq_880	83	0.46518244716
Random_seq_883	82	0.595760424241
Random_seq_888	54	0.482852097787
Random_seq_89	110	0.475897047546
Random_seq_891	43	0.611000526624
Random_seq_90	18	0.48420440434
Random_seq_916	163	0.488003275281
Random_seq_92	69	0.462522044465
Random_seq_931	91	0.493979047526
Random_seq_938	131	0.578311816159
