Array	IB_Bacillota_motif_6_1	IB_Bacillota_motif_6_1_pvalue
Random_seq_129	96	0.726204515022
Random_seq_197	23	0.605273718534
Random_seq_205	136	0.710327942859
Random_seq_214	85	0.654511559662
Random_seq_228	29	0.603832651711
Random_seq_259	100	0.670067481527
Random_seq_308	191	0.745938585111
Random_seq_36	157	1.03066673911
Random_seq_426	45	0.637790853189
Random_seq_432	139	0.989708930237
Random_seq_437	63	0.620808725829
Random_seq_50	66	0.601693385842
Random_seq_539	167	0.77336123688
Random_seq_543	129	0.62110214871
Random_seq_569	183	0.779800623548
Random_seq_589	87	0.679040816362
Random_seq_634	100	0.698894073043
Random_seq_637	145	0.650523638558
Random_seq_654	189	0.632083107604
Random_seq_712	50	0.721388546361
Random_seq_717	61	0.60898322847
Random_seq_746	32	0.614051595156
Random_seq_766	126	0.61071222081
Random_seq_774	37	0.64647676345
Random_seq_844	112	0.649907843725
Random_seq_856	24	0.762665527505
Random_seq_896	170	0.662563148985
Random_seq_912	26	0.615653156516
Random_seq_924	80	0.701568197685
Random_seq_948	126	0.663124871132
