Array	IC_Actinomycetota_motif_4_1	IC_Actinomycetota_motif_4_1_pvalue
Random_seq_103	97	0.67888304149
Random_seq_115	72	0.721479650485
Random_seq_136	9	0.614642143171
Random_seq_230	45	0.63696736836
Random_seq_273	49	0.653375632069
Random_seq_487	140	0.623783039409
Random_seq_732	115	0.602897138283
Random_seq_740	174	0.614558600381
Random_seq_786	150	0.67287636756
Random_seq_789	93	0.611700304078
Random_seq_816	170	0.606852425395
Random_seq_850	51	0.653375632069
Random_seq_877	70	0.634085151508
Random_seq_927	143	0.646063222038
Random_seq_93	51	0.630894534162
Random_seq_934	65	0.674747186781
Random_seq_945	177	0.810494676509
Random_seq_946	42	0.602618661927
Random_seq_952	6	0.695142862859
