Array	IE_Pseudomonadota_motif_6_1	IE_Pseudomonadota_motif_6_1_pvalue
Random_seq_240	121	0.6096621768
Random_seq_392	82	0.622354202475
Random_seq_456	13	0.87954288309
Random_seq_508	48	0.613163565679
Random_seq_515	157	0.718332839635
Random_seq_529	156	0.645223866975
Random_seq_540	65	0.612481837497
Random_seq_746	148	0.630782184034
Random_seq_829	114	0.600170469984
Random_seq_846	154	0.625077501869
Random_seq_901	111	0.802520011006
Random_seq_907	73	0.648990453621
Random_seq_945	62	0.679498814876
Random_seq_964	93	0.773091576299
