Array	IC_Pseudomonadota_motif_2_1	IC_Pseudomonadota_motif_2_1_pvalue
Random_seq_147	127	1.0
Random_seq_255	61	1.0
Random_seq_275	40	1.0
Random_seq_312	95	1.0
Random_seq_341	63	1.0
Random_seq_361	153	1.0
Random_seq_363	160	1.0
Random_seq_408	193	1.0
Random_seq_412	97	1.0
Random_seq_506	21	1.0
Random_seq_553	120	1.0
Random_seq_607	81	1.0
Random_seq_62	89	1.0
Random_seq_636	157	1.0
Random_seq_647	141	1.0
Random_seq_648	36	1.0
Random_seq_663	84	1.0
Random_seq_705	27	1.0
Random_seq_747	84	1.0
Random_seq_778	39	1.0
Random_seq_842	78	1.0
Random_seq_883	77	1.0
Random_seq_895	29	1.0
Random_seq_923	64	1.0
Random_seq_934	145	1.0
