Array	IIA_Bacillota_motif_4_1	IIA_Bacillota_motif_4_1_pvalue
Random_seq_126	37	0.689046712559
Random_seq_241	141	0.674476534469
Random_seq_244	164	0.754122399574
Random_seq_250	135	0.619937985982
Random_seq_324	24	0.72640441789
Random_seq_325	17	0.70301965473
Random_seq_347	147	0.707530275973
Random_seq_382	73	0.651933728766
Random_seq_446	52	0.721867241588
Random_seq_470	104	0.82335552109
Random_seq_494	179	0.956959569728
Random_seq_548	116	0.73780591922
Random_seq_562	119	0.773605457075
Random_seq_640	70	0.73535800539
Random_seq_647	139	0.641377263285
Random_seq_663	82	0.821035775765
Random_seq_722	94	0.73242370707
Random_seq_78	189	0.683724502006
Random_seq_786	20	0.641935962163
Random_seq_80	191	0.645989105448
Random_seq_82	152	0.624691758652
Random_seq_829	45	0.752533938789
Random_seq_844	27	0.715390543083
Random_seq_956	113	0.680067012495
