Array	IC_Pseudomonadota_motif_3_1	IC_Pseudomonadota_motif_3_1_pvalue
Random_seq_131	25	0.497964210678
Random_seq_198	85	0.456716088085
Random_seq_205	55	0.517700365936
Random_seq_303	184	0.485749069959
Random_seq_304	27	0.550966506367
Random_seq_318	79	0.467501284321
Random_seq_344	178	0.464705958202
Random_seq_346	121	0.471903966025
Random_seq_407	18	0.533277116512
Random_seq_504	17	0.501212168265
Random_seq_516	178	0.456941662139
Random_seq_540	178	0.461067840754
Random_seq_651	64	0.471903966025
Random_seq_653	60	0.472912543643
Random_seq_741	172	0.458259330344
Random_seq_760	60	0.478821709243
Random_seq_87	158	0.457854524153
Random_seq_9	51	0.563239872662
Random_seq_911	135	0.506999298395
