Array	IB_Bacillota_motif_5_1	IB_Bacillota_motif_5_1_pvalue
Random_seq_11	31	0.562234947437
Random_seq_176	168	0.612465973011
Random_seq_224	17	0.569632282477
Random_seq_231	109	0.694150646108
Random_seq_372	92	0.631016428824
Random_seq_414	112	0.520247189702
Random_seq_479	21	0.554102032988
Random_seq_56	10	0.64695500296
Random_seq_603	173	0.559680820543
Random_seq_663	21	0.550757909341
Random_seq_669	172	0.628904482793
Random_seq_714	116	0.586613003135
Random_seq_851	137	0.55837525191
Random_seq_87	148	0.551008041104
Random_seq_878	93	0.6013786204
