Array	IB_Euryarchaeota_motif_8_1	IB_Euryarchaeota_motif_8_1_pvalue
Random_seq_300	167	0.418279728138
Random_seq_302	43	0.432553100321
Random_seq_322	129	0.429008810642
Random_seq_375	33	0.400860393268
Random_seq_388	32	0.50540698848
Random_seq_409	120	0.444554161138
Random_seq_478	149	0.417767691005
Random_seq_490	28	0.522633891795
Random_seq_504	39	0.416549037485
Random_seq_51	84	0.460480993464
Random_seq_518	128	0.409764534998
Random_seq_55	121	0.403907890994
Random_seq_553	170	0.456356336499
Random_seq_731	162	0.448090007102
Random_seq_772	128	0.416057130025
Random_seq_83	38	0.40343673557
