Array	IB_Euryarchaeota_motif_7_1	IB_Euryarchaeota_motif_7_1_pvalue
Random_seq_100	57	0.464477850006
Random_seq_143	186	0.479148358229
Random_seq_283	11	0.593119327847
Random_seq_33	191	0.571796953618
Random_seq_466	156	0.535823414918
Random_seq_537	85	0.471616312752
Random_seq_550	137	0.441003704032
Random_seq_553	37	0.45764132738
Random_seq_583	142	0.638891764954
Random_seq_586	96	0.491267284581
Random_seq_617	170	0.477058960185
Random_seq_732	68	0.564230190017
Random_seq_770	186	0.449151136496
Random_seq_858	81	0.553252624042
Random_seq_863	119	0.454488629397
Random_seq_950	89	0.605380474327
Random_seq_958	10	0.443057591199
Random_seq_963	70	0.457245337536
