Array	IC_Cyanobacteriota_motif_2_1	IC_Cyanobacteriota_motif_2_1_pvalue
Random_seq_104	180	0.939031182257
Random_seq_106	62	0.81100006622
Random_seq_156	167	0.960160792348
Random_seq_163	102	0.839175460673
Random_seq_169	132	0.79814434899
Random_seq_175	19	0.79814434899
Random_seq_189	159	0.839175460673
Random_seq_275	9	0.83154811237
Random_seq_29	191	0.973200226889
Random_seq_290	149	0.939031182257
Random_seq_356	112	0.804217751189
Random_seq_444	89	0.854488996163
Random_seq_505	19	0.804217751189
Random_seq_510	10	0.79814434899
Random_seq_74	38	0.908339204009
Random_seq_804	10	0.781708305114
Random_seq_859	10	0.824094792855
Random_seq_867	73	0.872103926693
Random_seq_870	107	0.837126881453
Random_seq_89	77	0.793330757405
Random_seq_92	38	0.79814434899
