Array	IG_Bacillota_motif_1_1	IG_Bacillota_motif_1_1_pvalue
Random_seq_147	184	0.681804015189
Random_seq_155	84	0.627396481829
Random_seq_172	132	0.713143819977
Random_seq_217	51	0.624542188539
Random_seq_218	74	0.889561463482
Random_seq_220	127	0.623042070249
Random_seq_249	58	0.69339395158
Random_seq_30	178	0.613079600612
Random_seq_333	105	0.701677133964
Random_seq_350	179	0.601415836931
Random_seq_387	160	0.578785855408
Random_seq_400	160	0.596667663355
Random_seq_419	155	0.618530599439
Random_seq_445	11	0.591985052273
Random_seq_465	44	0.573368258977
Random_seq_480	34	0.664839568143
Random_seq_527	161	0.607145320603
Random_seq_570	99	0.591985052273
Random_seq_595	170	0.689270194497
Random_seq_609	132	0.77616094283
Random_seq_622	125	0.612047803006
Random_seq_630	116	0.613497469587
Random_seq_717	124	0.593455014226
Random_seq_732	94	0.581029373011
Random_seq_755	71	0.663839519727
Random_seq_781	133	0.605293855708
Random_seq_794	18	0.605293855708
Random_seq_827	70	0.670113534231
Random_seq_833	161	0.633560220319
Random_seq_917	118	0.61063319227
Random_seq_919	14	0.61103388841
Random_seq_928	147	0.660938028848
Random_seq_959	54	0.647883816959
