Array	IB_Cyanobacteriota_motif_1_1	IB_Cyanobacteriota_motif_1_1_pvalue
Random_seq_1000	94	0.669544956917
Random_seq_297	19	0.667480890549
Random_seq_347	174	0.683269761083
Random_seq_388	51	0.679922907728
Random_seq_48	57	0.668102735021
Random_seq_54	104	0.688428393535
Random_seq_557	122	0.822940103671
Random_seq_588	127	0.672997181195
Random_seq_599	165	0.730351915149
Random_seq_603	193	0.685402158274
Random_seq_72	58	0.701447858717
Random_seq_730	167	0.703184303213
Random_seq_920	176	0.7094608894
