Array	IC_Verrucomicrobiota_motif_4_1	IC_Verrucomicrobiota_motif_4_1_pvalue
Random_seq_135	58	0.529778621811
Random_seq_146	104	0.466472812346
Random_seq_175	186	0.455893742918
Random_seq_195	9	0.439117090153
Random_seq_234	87	0.442625658518
Random_seq_268	154	0.45158480256
Random_seq_30	47	0.450023246793
Random_seq_326	84	0.442809145811
Random_seq_466	8	0.440834196167
Random_seq_477	57	0.502944834315
Random_seq_501	79	0.635428088871
Random_seq_591	127	0.442442981326
Random_seq_601	89	0.460141193717
Random_seq_614	190	0.469164904196
Random_seq_644	143	0.51851984214
Random_seq_652	183	0.516072142091
Random_seq_686	188	0.453923069674
Random_seq_82	43	0.443364540953
Random_seq_820	188	0.450023246793
Random_seq_822	29	0.520636137766
Random_seq_835	184	0.452042004082
Random_seq_845	76	0.547776804375
Random_seq_869	172	0.457962989923
Random_seq_87	86	0.498334447797
Random_seq_931	39	0.491416952507
