Array	IC_Pseudomonadota_motif_5_1	IC_Pseudomonadota_motif_5_1_pvalue
Random_seq_110	70	1.0
Random_seq_255	160	1.0
Random_seq_259	132	1.0
Random_seq_327	128	1.0
Random_seq_341	192	1.0
Random_seq_367	145	1.0
Random_seq_384	67	1.0
Random_seq_41	118	1.0
Random_seq_459	57	1.0
Random_seq_510	188	1.0
Random_seq_527	152	1.0
Random_seq_609	137	1.0
Random_seq_703	125	1.0
Random_seq_741	193	1.0
Random_seq_805	119	1.0
Random_seq_829	66	1.0
Random_seq_832	160	1.0
Random_seq_842	41	1.0
Random_seq_861	29	1.0
Random_seq_874	194	1.0
Random_seq_955	104	1.0
