Array	IB_Bacillota_motif_2_1	IB_Bacillota_motif_2_1_pvalue
Random_seq_155	183	0.689073056152
Random_seq_193	157	0.696391022111
Random_seq_269	69	0.678195508683
Random_seq_323	104	0.729266525976
Random_seq_44	98	0.681142327345
Random_seq_462	109	0.873090622452
Random_seq_574	50	0.721599312615
Random_seq_597	77	0.741520011543
Random_seq_69	191	0.684792354463
Random_seq_706	174	0.76487872322
Random_seq_711	19	0.705396659548
Random_seq_75	174	0.758703198828
Random_seq_784	103	1.0
Random_seq_846	140	0.820323235955
