Array	IB_Euryarchaeota_motif_4_1	IB_Euryarchaeota_motif_4_1_pvalue
Random_seq_140	128	0.423469449611
Random_seq_151	88	0.352730450771
Random_seq_19	153	0.371168629567
Random_seq_199	63	0.59506880298
Random_seq_219	146	0.3572214054
Random_seq_227	89	0.375742273183
Random_seq_258	139	0.445277112656
Random_seq_274	152	0.349436487372
Random_seq_364	156	0.566976985743
Random_seq_391	171	0.352315168508
Random_seq_400	67	0.394987332841
Random_seq_519	100	0.402613014724
Random_seq_591	132	0.349436487372
Random_seq_620	49	0.450059295709
Random_seq_638	15	0.392914210475
Random_seq_647	47	0.378997964737
Random_seq_654	96	0.374876078549
Random_seq_692	100	0.365222065351
Random_seq_747	93	0.358725599787
Random_seq_940	39	0.377030462149
Random_seq_991	70	0.413029600329
