Array	IB_Bacillota_motif_5_1	IB_Bacillota_motif_5_1_pvalue
Random_seq_111	14	0.638071682838
Random_seq_122	25	0.612465973011
Random_seq_160	44	0.537910766984
Random_seq_3	10	0.583129562748
Random_seq_318	78	0.524255464513
Random_seq_367	38	0.614420052107
Random_seq_427	7	0.548317337456
Random_seq_511	117	0.607337891046
Random_seq_527	25	0.52214061275
Random_seq_563	27	0.531225025169
Random_seq_590	180	0.555308759082
Random_seq_666	19	0.549891314598
Random_seq_710	158	0.736630067487
Random_seq_73	166	0.545866387756
Random_seq_730	97	0.535780192436
Random_seq_785	151	0.542759888238
Random_seq_852	23	0.533364405967
Random_seq_867	112	0.536449176848
Random_seq_869	150	0.56056877241
Random_seq_931	62	0.533002003152
