Array	IB_Euryarchaeota_motif_6_1	IB_Euryarchaeota_motif_6_1_pvalue
Random_seq_14	163	0.313811540792
Random_seq_142	95	0.374671171425
Random_seq_161	164	0.282364032814
Random_seq_238	29	0.29828026454
Random_seq_271	33	0.301026828952
Random_seq_277	142	0.346680708521
Random_seq_28	78	0.295706826675
Random_seq_282	21	0.295592341535
Random_seq_296	122	0.282585399652
Random_seq_337	31	0.314447502502
Random_seq_402	85	0.289981098947
Random_seq_414	96	0.294306242172
Random_seq_420	35	0.33277176341
Random_seq_435	51	0.282920543589
Random_seq_444	113	0.322093013464
Random_seq_474	185	0.283373307965
Random_seq_500	78	0.325299420346
Random_seq_512	84	0.318698648628
Random_seq_522	13	0.345361019442
Random_seq_525	133	0.293549569642
Random_seq_527	159	0.291239141122
Random_seq_548	55	0.288637465757
Random_seq_565	177	0.304354994091
Random_seq_566	106	0.333369691588
Random_seq_58	130	0.382773047723
Random_seq_607	39	0.302214216108
Random_seq_609	113	0.315986048477
Random_seq_612	40	0.303302427484
Random_seq_640	151	0.327700306994
Random_seq_651	187	0.295706826675
Random_seq_676	21	0.282364032814
Random_seq_679	130	0.303899364008
Random_seq_68	38	0.28247451202
Random_seq_685	126	0.304895460431
Random_seq_697	127	0.308978754578
Random_seq_71	80	0.283259474544
Random_seq_728	168	0.32127491538
Random_seq_746	17	0.282808412355
Random_seq_751	72	0.285704578426
Random_seq_775	135	0.294196970393
Random_seq_782	58	0.284378391468
Random_seq_79	73	0.308272955653
Random_seq_8	36	0.355267947543
Random_seq_816	183	0.321817827402
Random_seq_83	38	0.40263788123
Random_seq_839	15	0.2954782917
Random_seq_840	18	0.319322269228
Random_seq_850	67	0.331421274919
Random_seq_858	92	0.327204509419
Random_seq_875	176	0.332185521876
Random_seq_88	101	0.297539607888
Random_seq_884	13	0.288098617666
Random_seq_901	30	0.285622512519
Random_seq_902	38	0.382461137769
Random_seq_923	142	0.342746103302
Random_seq_924	67	0.300016798496
Random_seq_929	86	0.336107984161
Random_seq_937	159	0.313394935896
Random_seq_944	153	0.472112185594
Random_seq_95	90	0.312780680907
Random_seq_963	138	0.287832780738
Random_seq_974	144	0.339613338266
Random_seq_984	178	0.478498795882
Random_seq_988	90	0.291687208596
Random_seq_99	63	0.326078556888
Random_seq_993	78	0.286159998871
