Array	IB_Euryarchaeota_motif_2_1	IB_Euryarchaeota_motif_2_1_pvalue
Random_seq_227	175	0.409560399627
Random_seq_382	136	0.418078034931
Random_seq_386	78	0.397397858066
Random_seq_398	102	0.40469076772
Random_seq_400	82	0.49283849004
Random_seq_443	65	0.419252507424
Random_seq_486	133	0.428891836764
Random_seq_528	53	0.419620598085
Random_seq_64	101	0.397890569006
Random_seq_652	109	0.390075099122
Random_seq_687	108	0.38993819177
Random_seq_73	73	0.419069665887
Random_seq_749	12	0.390304275368
Random_seq_814	88	0.448155553834
Random_seq_816	147	0.433134038723
