Array	IC_Pseudomonadota_motif_7_1	IC_Pseudomonadota_motif_7_1_pvalue
Random_seq_164	50	0.556986182684
Random_seq_254	136	0.649401220943
Random_seq_267	144	0.518655139669
Random_seq_307	129	0.481671504632
Random_seq_341	168	0.478529013732
Random_seq_379	39	0.533686595521
Random_seq_457	24	0.528319997651
Random_seq_495	51	0.497955235566
Random_seq_562	125	0.530704212441
Random_seq_803	96	0.517226425889
Random_seq_863	136	0.576509613549
Random_seq_891	109	0.543441917619
Random_seq_969	53	0.568299008627
