Array	IC_Pseudomonadota_motif_3_1	IC_Pseudomonadota_motif_3_1_pvalue
Random_seq_115	166	0.486261526874
Random_seq_213	75	0.489454604801
Random_seq_23	69	0.54444527436
Random_seq_324	186	0.484045874109
Random_seq_361	55	0.457682057715
Random_seq_382	190	0.463721975368
Random_seq_42	105	0.482782366727
Random_seq_543	24	0.468708944155
Random_seq_550	123	0.493107648893
Random_seq_563	103	0.494795999108
Random_seq_626	109	0.474749626968
Random_seq_730	29	0.573580034531
Random_seq_784	158	0.557156640863
Random_seq_829	37	0.476153314178
Random_seq_913	116	0.513385684401
