Array	IB_Euryarchaeota_motif_5_1	IB_Euryarchaeota_motif_5_1_pvalue
Random_seq_151	157	0.446937763642
Random_seq_159	74	0.351696149628
Random_seq_205	112	0.276709561154
Random_seq_289	115	0.323251530271
Random_seq_364	99	0.288793577764
Random_seq_382	125	0.269163908197
Random_seq_4	143	0.301218683879
Random_seq_437	123	0.271193113876
Random_seq_457	135	0.26627454969
Random_seq_481	61	0.264453298322
Random_seq_541	25	0.268818130155
Random_seq_641	90	0.30380716021
Random_seq_719	180	0.306996691658
Random_seq_854	185	0.318811784037
Random_seq_886	91	0.302055086528
