Array	IE_Actinomycetota_motif_9_1	IE_Actinomycetota_motif_9_1_pvalue
Random_seq_290	127	0.353764610566
Random_seq_355	166	0.335574795342
Random_seq_406	43	0.354091856694
Random_seq_492	87	0.337515419487
Random_seq_5	171	0.457255371636
Random_seq_502	51	0.344204472345
Random_seq_557	149	0.406931738162
Random_seq_650	153	0.366620182469
Random_seq_658	160	0.353247110651
Random_seq_664	111	0.339478515571
Random_seq_702	51	0.386935987918
Random_seq_739	178	0.367658280184
Random_seq_781	59	0.358864740926
Random_seq_805	163	0.364717621606
Random_seq_814	63	0.350229745118
Random_seq_869	123	0.351737692087
Random_seq_874	185	0.34872556911
Random_seq_917	169	0.338956021515
Random_seq_946	172	0.417296680249
