Array	IF_Pseudomonadota_motif_9_1	IF_Pseudomonadota_motif_9_1_pvalue
Random_seq_113	145	0.564292222356
Random_seq_20	130	0.476783188501
Random_seq_234	177	0.450582401168
Random_seq_262	24	0.445230256096
Random_seq_324	8	0.497349728239
Random_seq_333	81	0.46640463751
Random_seq_424	139	0.464111171458
Random_seq_440	154	0.495343047911
Random_seq_509	81	0.515099710712
Random_seq_564	98	0.51647048362
Random_seq_660	119	0.46179637963
Random_seq_711	167	0.42399888424
Random_seq_742	112	0.445784042859
Random_seq_871	56	0.440780226913
