Array	IC_Cyanobacteriota_motif_2_1	IC_Cyanobacteriota_motif_2_1_pvalue
Random_seq_110	94	0.945509211427
Random_seq_167	131	0.814402987936
Random_seq_176	34	0.783457783916
Random_seq_184	162	0.773364150911
Random_seq_199	133	0.814402987936
Random_seq_211	19	0.787076274321
Random_seq_430	55	0.854488996163
Random_seq_432	113	0.877669711346
Random_seq_508	36	0.866482790553
Random_seq_517	41	0.812896311162
Random_seq_541	168	0.785397393848
Random_seq_548	22	0.82096718113
Random_seq_633	107	0.796218497661
Random_seq_68	90	0.945509211427
Random_seq_865	95	0.837126881453
