Array	IC_Actinomycetota_motif_5_1	IC_Actinomycetota_motif_5_1_pvalue
Random_seq_112	172	0.688120502602
Random_seq_22	32	0.682611900309
Random_seq_220	86	0.668436328523
Random_seq_308	41	0.676132162316
Random_seq_330	9	0.694592717844
Random_seq_420	21	0.90322240512
Random_seq_520	37	0.696629427148
Random_seq_521	115	0.728125643202
Random_seq_527	145	0.688120502602
Random_seq_529	73	0.786582572561
Random_seq_54	109	0.763342154466
Random_seq_75	190	0.725556991059
Random_seq_755	71	0.798531013858
Random_seq_785	93	0.669309960325
Random_seq_801	9	0.798531013858
Random_seq_875	123	0.710882137546
Random_seq_889	84	0.731209718286
Random_seq_910	156	0.728125643202
