Array	IE_Pseudomonadota_motif_5_1	IE_Pseudomonadota_motif_5_1_pvalue
Random_seq_177	77	0.305511517289
Random_seq_227	29	0.27447529524
Random_seq_266	35	0.286467606241
Random_seq_296	51	0.290914213284
Random_seq_349	35	0.267736475522
Random_seq_35	102	0.270733033655
Random_seq_375	138	0.307335945805
Random_seq_376	121	0.351358752958
Random_seq_387	165	0.279426400609
Random_seq_399	103	0.271777738661
Random_seq_473	67	0.264510287597
Random_seq_488	149	0.26037738093
Random_seq_490	166	0.288322129387
Random_seq_492	83	0.264510287597
Random_seq_552	104	0.265950685496
Random_seq_558	39	0.262272922445
Random_seq_6	73	0.30257857992
Random_seq_618	137	0.272360257732
Random_seq_637	41	0.284939541817
Random_seq_689	100	0.296410811923
Random_seq_726	70	0.292168033708
Random_seq_777	78	0.274967720116
Random_seq_808	79	0.282825530748
Random_seq_812	153	0.270224885937
Random_seq_824	151	0.292536783147
Random_seq_837	49	0.299563185039
Random_seq_858	119	0.279777864457
Random_seq_859	99	0.296517516953
Random_seq_913	101	0.265556937292
Random_seq_98	44	0.331832148568
