Array	IE_Pseudomonadota_motif_6_1	IE_Pseudomonadota_motif_6_1_pvalue
Random_seq_158	146	0.75206020057
Random_seq_16	97	0.631688769382
Random_seq_231	194	0.60003050645
Random_seq_299	40	0.612992457908
Random_seq_312	75	0.630445468351
Random_seq_316	22	0.6096621768
Random_seq_463	97	0.831417434371
Random_seq_518	53	0.783337966037
Random_seq_537	131	0.665181035471
Random_seq_577	76	0.662184874234
Random_seq_612	137	0.606727422345
Random_seq_681	131	0.607664703298
Random_seq_78	106	0.633541029506
Random_seq_796	64	0.763807502742
Random_seq_843	79	0.713297058433
