Array	IE_Actinomycetota_motif_11_1	IE_Actinomycetota_motif_11_1_pvalue
Random_seq_102	85	0.272643890392
Random_seq_117	40	0.260569352644
Random_seq_13	67	0.253822963835
Random_seq_149	180	0.328127120234
Random_seq_170	26	0.261357838565
Random_seq_172	150	0.265590301366
Random_seq_186	153	0.292890820955
Random_seq_194	48	0.268083977913
Random_seq_201	126	0.292511599703
Random_seq_204	106	0.274265072286
Random_seq_216	64	0.262335173405
Random_seq_219	114	0.273882298494
Random_seq_259	94	0.272523090697
Random_seq_262	144	0.274458495252
Random_seq_300	109	0.308198635429
Random_seq_35	116	0.283598226207
Random_seq_361	64	0.305440454698
Random_seq_362	53	0.290573695746
Random_seq_383	109	0.303493892036
Random_seq_405	83	0.252810639971
Random_seq_425	99	0.262501526818
Random_seq_453	103	0.256066620213
Random_seq_469	98	0.260686180357
Random_seq_473	25	0.257870821254
Random_seq_480	151	0.269448902055
Random_seq_529	18	0.277035367653
Random_seq_544	154	0.257625569428
Random_seq_567	182	0.313075960577
Random_seq_572	35	0.260491744938
Random_seq_586	21	0.257870821254
Random_seq_592	157	0.271692167858
Random_seq_593	149	0.264357085352
Random_seq_609	107	0.255804377161
Random_seq_616	131	0.310286146472
Random_seq_617	159	0.273194217931
Random_seq_625	132	0.268757891877
Random_seq_667	87	0.254005580965
Random_seq_674	62	0.271056628632
Random_seq_685	159	0.257976608908
Random_seq_722	164	0.258225056241
Random_seq_724	143	0.271809330562
Random_seq_756	94	0.279026748605
Random_seq_782	35	0.265265178996
Random_seq_825	105	0.27717798728
Random_seq_83	129	0.262418223124
Random_seq_849	74	0.279257274268
Random_seq_865	127	0.304063396123
Random_seq_875	49	0.309572386337
Random_seq_914	114	0.269074642965
Random_seq_918	44	0.265777842807
Random_seq_924	55	0.27941204904
Random_seq_925	88	0.27864682213
