Array	IIC_Bacteroidota_motif_8_1	IIC_Bacteroidota_motif_8_1_pvalue
Random_seq_10	100	0.685462690724
Random_seq_117	177	0.680592449924
Random_seq_137	185	0.661643638058
Random_seq_141	52	0.845382416111
Random_seq_200	42	0.68924694602
Random_seq_204	120	0.636377628516
Random_seq_208	55	0.614744493489
Random_seq_221	194	0.661166138735
Random_seq_248	110	0.673139324316
Random_seq_270	145	0.626327834789
Random_seq_271	49	0.730175708301
Random_seq_297	94	0.755048522443
Random_seq_302	85	0.619520302422
Random_seq_330	52	0.652281655722
Random_seq_459	18	0.735380349318
Random_seq_467	22	0.641928638263
Random_seq_485	38	0.660692095409
Random_seq_521	145	0.615529835036
Random_seq_540	139	0.641928638263
Random_seq_568	190	0.612745612761
Random_seq_572	53	0.707362769125
Random_seq_608	43	0.644953030592
Random_seq_657	155	0.646455888886
Random_seq_708	51	0.755048522443
Random_seq_724	189	0.678286727979
Random_seq_809	137	0.616484846372
Random_seq_829	19	0.631160165786
Random_seq_87	17	0.721657657534
