Array	IG_Bacillota_motif_1_1	IG_Bacillota_motif_1_1_pvalue
Random_seq_161	44	0.606212264017
Random_seq_167	149	0.672940239023
Random_seq_174	145	0.627930744974
Random_seq_227	68	0.621579458874
Random_seq_291	169	0.756283928351
Random_seq_296	111	0.672940239023
Random_seq_310	107	0.604389642842
Random_seq_313	147	0.595731620861
Random_seq_318	162	0.606770310294
Random_seq_319	181	0.753006992963
Random_seq_323	152	0.606212264017
Random_seq_337	181	0.634154148342
Random_seq_343	101	0.627396481829
Random_seq_407	30	0.60866987353
Random_seq_442	30	0.576069634894
Random_seq_465	121	0.583739396418
Random_seq_467	12	0.617399008882
Random_seq_474	16	0.590127708727
Random_seq_509	126	0.58605403973
Random_seq_52	39	0.590127708727
Random_seq_552	141	0.680669325959
Random_seq_563	30	0.573368258977
Random_seq_595	154	0.59390330307
Random_seq_642	18	0.604389642842
Random_seq_746	103	0.583739396418
Random_seq_790	178	0.619451900492
Random_seq_794	165	0.749688443194
Random_seq_804	49	0.572529514749
Random_seq_84	84	0.828345436517
Random_seq_872	118	0.605843168737
Random_seq_90	80	0.588738061255
Random_seq_902	131	1.06552513548
Random_seq_918	191	0.598100422504
Random_seq_927	23	0.701677133964
Random_seq_931	127	0.572011341231
Random_seq_96	144	0.596197770003
