Array	IB_Euryarchaeota_motif_8_1	IB_Euryarchaeota_motif_8_1_pvalue
Random_seq_110	14	0.429483908384
Random_seq_125	59	0.418279728138
Random_seq_141	167	0.506371093945
Random_seq_2	79	0.459894639629
Random_seq_287	106	0.452105248812
Random_seq_388	26	0.422693627738
Random_seq_399	67	0.400179412499
Random_seq_44	179	0.521232585486
Random_seq_578	130	0.422449640989
Random_seq_643	43	0.436982026877
Random_seq_692	146	0.542264527577
Random_seq_715	157	0.508607860769
Random_seq_716	27	0.433908526643
Random_seq_811	157	0.681565713493
Random_seq_818	46	0.429964326481
Random_seq_863	149	0.569431473485
Random_seq_880	176	0.428726257122
Random_seq_916	58	0.479479764848
Random_seq_987	47	0.426175134382
