Array	IE_Actinomycetota_motif_1_1	IE_Actinomycetota_motif_1_1_pvalue
Random_seq_1	178	0.276900841787
Random_seq_11	112	0.262971848905
Random_seq_157	163	0.263831120316
Random_seq_194	42	0.253625797905
Random_seq_250	119	0.253468085629
Random_seq_257	78	0.285264976904
Random_seq_322	119	0.27139999436
Random_seq_331	30	0.287028640851
Random_seq_35	99	0.262414168518
Random_seq_373	29	0.298434737016
Random_seq_383	137	0.250779529033
Random_seq_411	153	0.347624685042
Random_seq_427	116	0.276427268928
Random_seq_468	56	0.277189121156
Random_seq_538	97	0.255047551553
Random_seq_568	49	0.284745210338
Random_seq_601	148	0.309434252175
Random_seq_629	142	0.288470382181
Random_seq_647	144	0.248698275032
Random_seq_701	109	0.276900841787
Random_seq_71	77	0.323539280429
Random_seq_733	124	0.247292856455
Random_seq_745	27	0.321440896818
Random_seq_755	136	0.243829045911
Random_seq_816	171	0.264599158666
Random_seq_828	130	0.248534745061
Random_seq_843	60	0.265022171393
Random_seq_869	94	0.281030710829
Random_seq_885	46	0.248275187742
Random_seq_891	47	0.267245401163
Random_seq_915	64	0.306932159726
Random_seq_918	44	0.254881132706
Random_seq_930	47	0.255468251056
Random_seq_935	140	0.291118114038
Random_seq_954	100	0.262085133486
Random_seq_959	171	0.256462108002
Random_seq_988	54	0.276240195096
