Array	IF_Pseudomonadota_motif_4_1	IF_Pseudomonadota_motif_4_1_pvalue
Random_seq_109	41	0.417811106018
Random_seq_110	85	0.395534509022
Random_seq_16	24	0.411304202597
Random_seq_17	173	0.382292168553
Random_seq_176	47	0.414427196681
Random_seq_218	85	0.491985345067
Random_seq_219	162	0.423135635826
Random_seq_308	32	0.38399928223
Random_seq_319	55	0.439497786506
Random_seq_339	141	0.390582257988
Random_seq_348	142	0.447514679632
Random_seq_357	128	0.569426559329
Random_seq_371	119	0.414651712628
Random_seq_377	132	0.394085800687
Random_seq_378	20	0.413214112172
Random_seq_400	156	0.465363717104
Random_seq_425	62	0.427839463428
Random_seq_503	113	0.429105973524
Random_seq_585	64	0.407357043713
Random_seq_612	116	0.403162596579
Random_seq_628	61	0.379173320464
Random_seq_661	178	0.379740113264
Random_seq_704	142	0.396674127869
Random_seq_731	103	0.429754387751
Random_seq_738	117	0.395816423374
Random_seq_871	61	0.425566436409
Random_seq_882	78	0.461251664729
Random_seq_884	31	0.448540684424
Random_seq_901	48	0.412247906876
Random_seq_919	26	0.392621683253
Random_seq_943	39	0.440979283974
Random_seq_981	23	0.395254542281
