Array	IC_Actinomycetota_motif_4_1	IC_Actinomycetota_motif_4_1_pvalue
Random_seq_139	68	0.80831535303
Random_seq_157	150	0.687268176513
Random_seq_194	29	0.603387363331
Random_seq_203	60	0.720619313265
Random_seq_207	34	0.609578189406
Random_seq_209	146	0.674747186781
Random_seq_221	86	0.636263883031
Random_seq_236	69	0.847659136736
Random_seq_382	192	0.712968773837
Random_seq_384	70	0.60509679121
Random_seq_387	150	0.646063222038
Random_seq_404	81	0.613400145284
Random_seq_408	50	0.643406225417
Random_seq_442	139	0.717287582435
Random_seq_48	112	0.618251655652
Random_seq_485	173	0.614642143171
Random_seq_52	164	0.606115135861
Random_seq_569	32	0.659748829375
Random_seq_612	85	0.748272718536
Random_seq_738	181	0.680706445729
Random_seq_754	174	0.642117403164
Random_seq_831	108	0.628470970404
Random_seq_864	117	0.663896270483
Random_seq_901	22	0.615483534606
Random_seq_918	31	0.609810585041
Random_seq_954	120	0.611700304078
