Array	IC_Verrucomicrobiota_motif_2_1	IC_Verrucomicrobiota_motif_2_1_pvalue
Random_seq_110	76	0.595723291594
Random_seq_136	149	0.540148248677
Random_seq_158	125	0.548713587722
Random_seq_16	100	0.619310829725
Random_seq_160	143	0.617531276743
Random_seq_165	111	0.533233545969
Random_seq_284	106	0.554877875492
Random_seq_299	122	0.763203866925
Random_seq_370	156	0.591688679386
Random_seq_381	176	0.632092228985
Random_seq_436	130	0.583256677222
Random_seq_439	49	0.869616829065
Random_seq_444	12	0.659568119524
Random_seq_486	177	0.576763648987
Random_seq_526	106	0.535677160729
Random_seq_60	40	0.582147914996
Random_seq_655	123	0.537152582297
Random_seq_738	72	0.553344016797
Random_seq_799	125	0.545164182848
Random_seq_801	183	0.553344016797
Random_seq_803	93	0.540675833426
Random_seq_852	101	0.605000719567
Random_seq_887	189	0.538667253338
Random_seq_899	9	0.606665086181
