Array	IB_Thermoproteota_motif_1_1	IB_Thermoproteota_motif_1_1_pvalue
Random_seq_127	111	0.665753321738
Random_seq_18	31	0.63647481416
Random_seq_197	124	0.613254233798
Random_seq_248	55	0.629826708343
Random_seq_350	130	0.707543847855
Random_seq_366	12	0.822036059389
Random_seq_415	42	0.627923287745
Random_seq_465	191	0.633813752575
Random_seq_505	87	0.665753321738
Random_seq_586	81	0.693110641655
Random_seq_610	70	0.607745025428
Random_seq_680	19	0.612074520991
Random_seq_724	138	0.779224142932
Random_seq_737	50	0.649091604549
Random_seq_806	57	0.838300448609
Random_seq_830	31	0.620276888626
Random_seq_86	135	0.619615361326
Random_seq_939	155	0.722819293432
Random_seq_970	15	0.732293902326
Random_seq_993	165	0.641071189351
