Array	IC_Pseudomonadota_motif_4_1	IC_Pseudomonadota_motif_4_1_pvalue
Random_seq_139	101	0.550392415296
Random_seq_150	148	0.595466324789
Random_seq_163	50	0.561382289521
Random_seq_206	77	0.572941565381
Random_seq_259	7	0.62031490867
Random_seq_266	154	0.55088162741
Random_seq_344	135	0.566372917251
Random_seq_372	34	0.549907248692
Random_seq_381	95	0.596679188033
Random_seq_399	27	0.586443718054
Random_seq_431	137	0.578964302052
Random_seq_433	65	0.592682448707
Random_seq_503	171	0.595616568584
Random_seq_51	56	0.556705542936
Random_seq_511	95	0.572534132007
Random_seq_534	48	0.62031490867
Random_seq_599	158	0.633064011458
Random_seq_650	84	0.64229823705
Random_seq_696	166	0.571527757933
Random_seq_70	108	0.578625493584
Random_seq_713	97	0.555706550615
Random_seq_8	81	0.639055966297
Random_seq_833	82	0.584919731851
Random_seq_876	159	0.57233147146
Random_seq_884	60	0.610619688134
Random_seq_897	25	0.557016379001
Random_seq_930	193	0.548072594757
Random_seq_939	59	0.559239601368
