Array	ID_Euryarchaeota_motif_3_1	ID_Euryarchaeota_motif_3_1_pvalue
Random_seq_100	52	0.855831031102
Random_seq_110	17	0.844122778712
Random_seq_12	194	1.0
Random_seq_176	88	0.855831031102
Random_seq_186	143	0.947183015087
Random_seq_23	13	0.855831031102
Random_seq_233	164	0.873122363019
Random_seq_366	72	1.0
Random_seq_427	80	0.873122363019
Random_seq_569	45	0.855831031102
Random_seq_602	135	0.844122778712
Random_seq_643	54	1.0
Random_seq_682	177	0.855831031102
Random_seq_720	111	0.873122363019
Random_seq_721	15	0.873122363019
Random_seq_774	52	0.873122363019
Random_seq_872	7	0.873122363019
Random_seq_899	92	0.855831031102
Random_seq_908	144	0.947183015087
Random_seq_939	63	0.873122363019
Random_seq_960	19	0.844122778712
