Array	IIA_Bacillota_motif_4_1	IIA_Bacillota_motif_4_1_pvalue
Random_seq_261	19	0.724348243502
Random_seq_274	188	0.604828704493
Random_seq_278	97	0.676847651003
Random_seq_324	123	0.745482730677
Random_seq_386	27	0.704860753942
Random_seq_407	76	0.760455490041
Random_seq_448	34	0.608807547715
Random_seq_459	124	0.803759629798
Random_seq_501	155	0.750298261505
Random_seq_601	117	0.613228371645
Random_seq_622	115	0.621246174573
Random_seq_627	14	0.604046113013
Random_seq_65	65	0.641377263285
Random_seq_726	71	0.652592708555
Random_seq_772	132	0.849170860599
Random_seq_773	67	0.844738070943
Random_seq_777	143	0.630058352014
Random_seq_781	28	0.765724073775
Random_seq_881	57	0.649363387372
Random_seq_886	149	0.702297737403
Random_seq_890	114	0.66557785581
Random_seq_905	115	0.642925530158
Random_seq_960	11	0.610677387686
Random_seq_975	102	0.645989105448
