Array	IC_Pseudomonadota_motif_2_1	IC_Pseudomonadota_motif_2_1_pvalue
Random_seq_1	70	1.0
Random_seq_109	85	1.0
Random_seq_131	4	1.0
Random_seq_173	72	1.0
Random_seq_179	58	1.0
Random_seq_209	170	1.0
Random_seq_225	194	1.0
Random_seq_24	60	1.0
Random_seq_243	161	1.0
Random_seq_270	69	1.0
Random_seq_39	142	1.0
Random_seq_411	160	1.0
Random_seq_414	192	1.0
Random_seq_519	139	1.0
Random_seq_583	47	1.0
Random_seq_615	152	1.0
Random_seq_624	166	1.0
Random_seq_694	142	1.0
Random_seq_700	169	1.0
Random_seq_707	53	1.0
Random_seq_806	156	1.0
Random_seq_849	69	1.0
Random_seq_896	108	1.0
Random_seq_938	168	1.0
