Array	IVA_Pseudomonadota_motif_1_1	IVA_Pseudomonadota_motif_1_1_pvalue
Random_seq_1	188	0.889359158778
Random_seq_110	49	0.950923275617
Random_seq_179	93	0.886404880417
Random_seq_199	161	0.913330901692
Random_seq_20	194	0.83881781006
Random_seq_28	38	0.896793715008
Random_seq_310	96	0.843524871958
Random_seq_321	52	1.11811049106
Random_seq_356	161	0.866756115819
Random_seq_407	80	0.874200657051
Random_seq_444	119	0.893194888462
Random_seq_462	164	0.876935522682
Random_seq_522	127	0.833438110978
Random_seq_562	89	0.966396521008
Random_seq_601	147	0.833438110978
Random_seq_614	54	0.918640906127
Random_seq_624	44	0.854641882725
Random_seq_70	67	0.860697961016
Random_seq_743	86	0.874677238348
Random_seq_744	122	0.96463569987
Random_seq_772	164	0.991955372801
Random_seq_776	180	0.831747354604
Random_seq_784	58	1.00884115316
Random_seq_810	51	0.910195184119
Random_seq_818	48	0.899276063003
Random_seq_841	61	0.849449455651
Random_seq_892	178	0.86545369757
