Array	ID_Euryarchaeota_motif_4_1	ID_Euryarchaeota_motif_4_1_pvalue
Random_seq_11	85	0.415100958477
Random_seq_116	152	0.381788116547
Random_seq_134	140	0.477457417208
Random_seq_181	127	0.392140890022
Random_seq_267	101	0.382316265814
Random_seq_275	146	0.444003921688
Random_seq_30	37	0.491072709531
Random_seq_302	52	0.433658827529
Random_seq_335	23	0.394444214756
Random_seq_414	170	0.420619200331
Random_seq_552	90	0.439366948481
Random_seq_601	144	0.402883397446
Random_seq_605	156	0.473591072739
Random_seq_613	13	0.484928650251
Random_seq_712	141	0.417193192042
Random_seq_737	143	0.421173122623
Random_seq_765	89	0.371434113317
Random_seq_812	145	0.396431877433
Random_seq_843	47	0.402883397446
Random_seq_933	30	0.389578345855
Random_seq_949	110	0.385697120315
Random_seq_971	90	0.402268160881
