Array	IB_Bacillota_motif_8_1	IB_Bacillota_motif_8_1_pvalue
Random_seq_154	40	0.510835694703
Random_seq_311	130	0.419360618504
Random_seq_371	165	0.426178649438
Random_seq_401	112	0.418425710077
Random_seq_536	9	0.549189328294
Random_seq_543	130	0.434073436278
Random_seq_544	181	0.413414392621
Random_seq_672	51	0.404204243371
Random_seq_677	141	0.439018579738
Random_seq_69	118	0.400655525924
Random_seq_705	119	0.409739657086
Random_seq_738	41	0.4443288249
Random_seq_874	81	0.409426431577
Random_seq_91	35	0.448638850211
