Array	IIIB_Euryarchaeota_motif_1_1	IIIB_Euryarchaeota_motif_1_1_pvalue
Random_seq_359	114	0.456805307361
Random_seq_462	118	0.455498872657
Random_seq_513	46	0.456365300567
Random_seq_532	19	0.429371399138
Random_seq_557	129	0.422778980142
Random_seq_562	28	0.390707754563
Random_seq_601	59	0.396555365466
Random_seq_643	171	0.393701984896
Random_seq_647	188	0.40359899421
Random_seq_796	66	0.462227193055
Random_seq_805	149	0.416739610813
Random_seq_823	95	0.430067883561
Random_seq_824	112	0.470242143727
Random_seq_865	183	0.40359899421
Random_seq_913	141	0.468746602786
