Array	IB_Bacillota_motif_2_1	IB_Bacillota_motif_2_1_pvalue
Random_seq_15	51	0.696391022111
Random_seq_188	191	0.686050539854
Random_seq_232	123	0.897554625845
Random_seq_242	154	0.698465717462
Random_seq_274	149	0.724399286525
Random_seq_276	138	0.730963456562
Random_seq_303	136	0.719034823664
Random_seq_32	69	0.681778087856
Random_seq_634	134	0.715538202146
Random_seq_664	99	0.701118455311
Random_seq_68	125	0.716556974215
Random_seq_703	195	0.918404592593
Random_seq_739	184	0.748709565021
Random_seq_743	137	0.753007470981
Random_seq_82	72	0.76487872322
