Array	IF_Pseudomonadota_motif_10_1	IF_Pseudomonadota_motif_10_1_pvalue
HQ641352.1_Array_2	98	0.524421658
MH310934.1_Array_2	98	0.524421658
MH310935.1_Array_2	99	0.544586535
MN419153.1_Array_2	99	0.544586535
MW794150.1_Array_2	100	0.544586535
MW794151.1_Array_2	96	0.544586535
MW794152.1_Array_2	99	0.544586535
MW794153.1_Array_2	100	0.544586535
MW794154.1_Array_2	99	0.544586535
MW794155.1_Array_2	99	0.544586535
MW794156.1_Array_2	99	0.544586535
MW794157.1_Array_2	99	0.544586535
MW794158.1_Array_2	99	0.544586535
MW794159.1_Array_2	99	0.544586535
MW794160.1_Array_2	99	0.544586535
MW794161.1_Array_2	99	0.544586535
MW794162.1_Array_2	99	0.544586535
MW794163.1_Array_2	99	0.544586535
MW794164.1_Array_2	99	0.544586535
MW794166.1_Array_2	99	0.544586535
MW794167.1_Array_2	99	0.544586535
MW794169.1_Array_2	99	0.544586535
MW794170.1_Array_2	99	0.544586535
MW794171.1_Array_2	99	0.544586535
MW794172.1_Array_2	99	0.544586535
MW794173.1_Array_2	99	0.544586535
MW794177.1_Array_2	99	0.544586535
MW794179.1_Array_2	99	0.544586535
MW794180.1_Array_2	99	0.544586535
MW794182.1_Array_2	99	0.544586535
MW794183.1_Array_2	99	0.544586535
MW794188.1_Array_2	99	0.544586535
MW794190.1_Array_2	99	0.544586535
