Array	IC_Pseudomonadota_motif_9_1	IC_Pseudomonadota_motif_9_1_pvalue
HQ641352.1_Array_2	106	0.61537233242
MH310934.1_Array_2	106	0.61537233242
MH310935.1_Array_2	107	0.639190663857
MN419153.1_Array_2	107	0.639190663857
MW794150.1_Array_2	108	0.639190663857
MW794151.1_Array_2	104	0.639190663857
MW794152.1_Array_2	107	0.639190663857
MW794153.1_Array_2	108	0.639190663857
MW794154.1_Array_2	107	0.639190663857
MW794155.1_Array_2	107	0.639190663857
MW794156.1_Array_2	107	0.639190663857
MW794157.1_Array_2	107	0.639190663857
MW794158.1_Array_2	107	0.639190663857
MW794159.1_Array_2	107	0.639190663857
MW794160.1_Array_2	107	0.639190663857
MW794161.1_Array_2	107	0.639190663857
MW794162.1_Array_2	107	0.639190663857
MW794163.1_Array_2	107	0.639190663857
MW794164.1_Array_2	107	0.639190663857
MW794166.1_Array_2	107	0.639190663857
MW794167.1_Array_2	107	0.639190663857
MW794169.1_Array_2	107	0.639190663857
MW794170.1_Array_2	107	0.639190663857
MW794171.1_Array_2	107	0.639190663857
MW794172.1_Array_2	107	0.639190663857
MW794173.1_Array_2	107	0.639190663857
MW794177.1_Array_2	107	0.639190663857
MW794179.1_Array_2	107	0.639190663857
MW794180.1_Array_2	107	0.639190663857
MW794182.1_Array_2	107	0.639190663857
MW794183.1_Array_2	107	0.639190663857
MW794188.1_Array_2	107	0.639190663857
MW794190.1_Array_2	107	0.639190663857
