Array	IA_Bacillota_motif_1_1	IA_Bacillota_motif_1_1_pvalue
HQ641354.1_Array_1	27	0.520141555283
MH310933.1_Array_1	27	0.520141555283
MH310935.1_Array_1	27	0.520141555283
MN419153.1_Array_1	27	0.520141555283
MW794140.1_Array_1	27	0.520141555283
MW794150.1_Array_1	27	0.520141555283
MW794151.1_Array_1	27	0.520141555283
MW794152.1_Array_1	27	0.520141555283
MW794153.1_Array_1	27	0.520141555283
MW794154.1_Array_1	27	0.520141555283
MW794155.1_Array_1	27	0.520141555283
MW794156.1_Array_1	27	0.520141555283
MW794157.1_Array_1	27	0.520141555283
MW794158.1_Array_1	27	0.520141555283
MW794159.1_Array_1	27	0.520141555283
MW794160.1_Array_1	27	0.520141555283
MW794161.1_Array_1	27	0.520141555283
MW794162.1_Array_1	27	0.520141555283
MW794163.1_Array_1	27	0.520141555283
MW794164.1_Array_1	27	0.520141555283
MW794165.1_Array_1	27	0.520141555283
MW794166.1_Array_1	27	0.520141555283
MW794167.1_Array_1	27	0.520141555283
MW794168.1_Array_1	27	0.520141555283
MW794169.1_Array_1	27	0.520141555283
MW794170.1_Array_1	27	0.520141555283
MW794171.1_Array_1	27	0.520141555283
MW794172.1_Array_1	27	0.520141555283
MW794173.1_Array_1	27	0.520141555283
MW794176.1_Array_1	27	0.520141555283
MW794177.1_Array_1	27	0.520141555283
MW794179.1_Array_1	27	0.520141555283
MW794180.1_Array_1	27	0.520141555283
MW794182.1_Array_1	27	0.520141555283
MW794183.1_Array_1	27	0.520141555283
MW794188.1_Array_1	27	0.520141555283
MW794190.1_Array_1	27	0.520141555283
