Array	IIIB_Bacillota_motif_1_1	IIIB_Bacillota_motif_1_1_pvalue
HQ641352.1_Array_2	19	0.612876753229
MH310934.1_Array_2	19	0.612876753229
MH310935.1_Array_2	19	0.659580202964
MN419153.1_Array_2	19	0.659580202964
MW794150.1_Array_2	20	0.659580202964
MW794151.1_Array_2	16	0.659580202964
MW794152.1_Array_2	19	0.659580202964
MW794153.1_Array_2	20	0.659580202964
MW794154.1_Array_2	19	0.659580202964
MW794155.1_Array_2	19	0.659580202964
MW794156.1_Array_2	19	0.659580202964
MW794157.1_Array_2	19	0.659580202964
MW794158.1_Array_2	19	0.659580202964
MW794159.1_Array_2	19	0.659580202964
MW794160.1_Array_2	19	0.659580202964
MW794161.1_Array_2	19	0.659580202964
MW794162.1_Array_2	19	0.659580202964
MW794163.1_Array_2	19	0.659580202964
MW794164.1_Array_2	19	0.659580202964
MW794166.1_Array_2	19	0.659580202964
MW794167.1_Array_2	19	0.659580202964
MW794169.1_Array_2	19	0.659580202964
MW794170.1_Array_2	19	0.659580202964
MW794171.1_Array_2	19	0.659580202964
MW794172.1_Array_2	19	0.659580202964
MW794173.1_Array_2	19	0.659580202964
MW794177.1_Array_2	19	0.659580202964
MW794179.1_Array_2	19	0.659580202964
MW794180.1_Array_2	19	0.659580202964
MW794182.1_Array_2	19	0.659580202964
MW794183.1_Array_2	19	0.659580202964
MW794188.1_Array_2	19	0.659580202964
MW794190.1_Array_2	19	0.659580202964
