Array	VK_Cyanobacteriota_motif_3_1	VK_Cyanobacteriota_motif_3_1_pvalue
HQ641354.1_Array_1	142	0.477295117438
MH310933.1_Array_1	142	0.477295117438
MH310935.1_Array_1	142	0.477295117438
MN419153.1_Array_1	142	0.477295117438
MW794140.1_Array_1	142	0.477295117438
MW794150.1_Array_1	142	0.477295117438
MW794151.1_Array_1	142	0.477295117438
MW794152.1_Array_1	142	0.477295117438
MW794153.1_Array_1	142	0.477295117438
MW794154.1_Array_1	142	0.477295117438
MW794155.1_Array_1	142	0.477295117438
MW794156.1_Array_1	142	0.477295117438
MW794157.1_Array_1	142	0.477295117438
MW794158.1_Array_1	142	0.477295117438
MW794159.1_Array_1	142	0.477295117438
MW794160.1_Array_1	142	0.477295117438
MW794161.1_Array_1	142	0.477295117438
MW794162.1_Array_1	142	0.477295117438
MW794163.1_Array_1	142	0.477295117438
MW794164.1_Array_1	142	0.477295117438
MW794165.1_Array_1	142	0.477295117438
MW794166.1_Array_1	142	0.477295117438
MW794167.1_Array_1	142	0.477295117438
MW794168.1_Array_1	142	0.477295117438
MW794169.1_Array_1	142	0.477295117438
MW794170.1_Array_1	142	0.477295117438
MW794171.1_Array_1	142	0.477295117438
MW794172.1_Array_1	142	0.477295117438
MW794173.1_Array_1	142	0.477295117438
MW794176.1_Array_1	142	0.477295117438
MW794177.1_Array_1	142	0.477295117438
MW794179.1_Array_1	142	0.477295117438
MW794180.1_Array_1	142	0.477295117438
MW794182.1_Array_1	142	0.477295117438
MW794183.1_Array_1	142	0.477295117438
MW794188.1_Array_1	142	0.477295117438
MW794190.1_Array_1	142	0.477295117438
