Array	IIIA_Bacillota_motif_1_1	IIIA_Bacillota_motif_1_1_pvalue
MH310935.1_Array_2	111	0.56189699675
MN419153.1_Array_2	111	0.56189699675
MW794150.1_Array_2	112	0.56189699675
MW794151.1_Array_2	108	0.56189699675
MW794152.1_Array_2	111	0.56189699675
MW794153.1_Array_2	112	0.56189699675
MW794154.1_Array_2	111	0.56189699675
MW794155.1_Array_2	111	0.56189699675
MW794156.1_Array_2	111	0.56189699675
MW794157.1_Array_2	111	0.56189699675
MW794158.1_Array_2	111	0.56189699675
MW794159.1_Array_2	111	0.56189699675
MW794160.1_Array_2	111	0.56189699675
MW794161.1_Array_2	111	0.56189699675
MW794162.1_Array_2	111	0.56189699675
MW794163.1_Array_2	111	0.56189699675
MW794164.1_Array_2	111	0.56189699675
MW794166.1_Array_2	111	0.56189699675
MW794167.1_Array_2	111	0.56189699675
MW794169.1_Array_2	111	0.56189699675
MW794170.1_Array_2	111	0.56189699675
MW794171.1_Array_2	111	0.56189699675
MW794172.1_Array_2	111	0.56189699675
MW794173.1_Array_2	111	0.56189699675
MW794177.1_Array_2	111	0.56189699675
MW794179.1_Array_2	111	0.56189699675
MW794180.1_Array_2	111	0.56189699675
MW794182.1_Array_2	111	0.56189699675
MW794183.1_Array_2	111	0.56189699675
MW794188.1_Array_2	111	0.56189699675
MW794190.1_Array_2	111	0.56189699675
