Array	IF_Pseudomonadota_motif_8_1	IF_Pseudomonadota_motif_8_1_pvalue
HQ641352.1_Array_1	101	0.856324743
HQ641352.1_Array_2	32	0.626037329
HQ641354.1_Array_1	101	0.856324743
MH310933.1_Array_1	101	0.856324743
MH310934.1_Array_1	101	0.856324743
MH310934.1_Array_2	32	0.626037329
MH310935.1_Array_1	101	0.856324743
MH310935.1_Array_2	34	0.626037329
MN419153.1_Array_1	101	0.856324743
MN419153.1_Array_2	34	0.626037329
MW794140.1_Array_1	101	0.856324743
MW794150.1_Array_1	101	0.856324743
MW794150.1_Array_2	34	0.626037329
MW794151.1_Array_1	101	0.856324743
MW794151.1_Array_2	30	0.626037329
MW794152.1_Array_1	101	0.856324743
MW794152.1_Array_2	34	0.626037329
MW794153.1_Array_1	101	0.856324743
MW794153.1_Array_2	34	0.626037329
MW794154.1_Array_1	101	0.856324743
MW794154.1_Array_2	34	0.626037329
MW794155.1_Array_1	101	0.856324743
MW794155.1_Array_2	34	0.626037329
MW794156.1_Array_1	101	0.856324743
MW794156.1_Array_2	34	0.626037329
MW794157.1_Array_1	101	0.856324743
MW794157.1_Array_2	34	0.626037329
MW794158.1_Array_1	101	0.856324743
MW794158.1_Array_2	34	0.626037329
MW794159.1_Array_1	101	0.856324743
MW794159.1_Array_2	34	0.626037329
MW794160.1_Array_1	101	0.856324743
MW794160.1_Array_2	34	0.626037329
MW794161.1_Array_1	101	0.856324743
MW794161.1_Array_2	34	0.626037329
MW794162.1_Array_1	101	0.856324743
MW794162.1_Array_2	34	0.626037329
MW794163.1_Array_1	101	0.856324743
MW794163.1_Array_2	34	0.626037329
MW794164.1_Array_1	101	0.856324743
MW794164.1_Array_2	34	0.626037329
MW794165.1_Array_1	101	0.856324743
MW794166.1_Array_1	101	0.856324743
MW794166.1_Array_2	34	0.626037329
MW794167.1_Array_1	101	0.856324743
MW794167.1_Array_2	34	0.626037329
MW794168.1_Array_1	101	0.856324743
MW794169.1_Array_1	101	0.856324743
MW794169.1_Array_2	34	0.626037329
MW794170.1_Array_1	101	0.856324743
MW794170.1_Array_2	34	0.626037329
MW794171.1_Array_1	101	0.856324743
MW794171.1_Array_2	34	0.626037329
MW794172.1_Array_1	101	0.856324743
MW794172.1_Array_2	34	0.626037329
MW794173.1_Array_1	101	0.856324743
MW794173.1_Array_2	34	0.626037329
MW794176.1_Array_1	101	0.856324743
MW794177.1_Array_1	101	0.856324743
MW794177.1_Array_2	34	0.626037329
MW794179.1_Array_1	101	0.856324743
MW794179.1_Array_2	34	0.626037329
MW794180.1_Array_1	101	0.856324743
MW794180.1_Array_2	34	0.626037329
MW794182.1_Array_1	101	0.856324743
MW794182.1_Array_2	34	0.626037329
MW794183.1_Array_1	101	0.856324743
MW794183.1_Array_2	34	0.626037329
MW794188.1_Array_1	101	0.856324743
MW794188.1_Array_2	34	0.626037329
MW794190.1_Array_1	101	0.856324743
MW794190.1_Array_2	34	0.626037329
MZ292654.1_Array_1	101	0.856324743
