Array	IF_Pseudomonadota_motif_9_1	IF_Pseudomonadota_motif_9_1_pvalue
HQ641352.1_Array_1	115	0.723265794631
HQ641354.1_Array_1	115	0.723265794631
MH310933.1_Array_1	115	0.723265794631
MH310934.1_Array_1	115	0.723265794631
MH310935.1_Array_1	115	0.723265794631
MN419153.1_Array_1	115	0.723265794631
MW794140.1_Array_1	115	0.723265794631
MW794150.1_Array_1	115	0.723265794631
MW794151.1_Array_1	115	0.723265794631
MW794152.1_Array_1	115	0.723265794631
MW794153.1_Array_1	115	0.723265794631
MW794154.1_Array_1	115	0.723265794631
MW794155.1_Array_1	115	0.723265794631
MW794156.1_Array_1	115	0.723265794631
MW794157.1_Array_1	115	0.723265794631
MW794158.1_Array_1	115	0.723265794631
MW794159.1_Array_1	115	0.723265794631
MW794160.1_Array_1	115	0.723265794631
MW794161.1_Array_1	115	0.723265794631
MW794162.1_Array_1	115	0.723265794631
MW794163.1_Array_1	115	0.723265794631
MW794164.1_Array_1	115	0.723265794631
MW794165.1_Array_1	115	0.723265794631
MW794166.1_Array_1	115	0.723265794631
MW794167.1_Array_1	115	0.723265794631
MW794168.1_Array_1	115	0.723265794631
MW794169.1_Array_1	115	0.723265794631
MW794170.1_Array_1	115	0.723265794631
MW794171.1_Array_1	115	0.723265794631
MW794172.1_Array_1	115	0.723265794631
MW794173.1_Array_1	115	0.723265794631
MW794176.1_Array_1	115	0.723265794631
MW794177.1_Array_1	115	0.723265794631
MW794179.1_Array_1	115	0.723265794631
MW794180.1_Array_1	115	0.723265794631
MW794182.1_Array_1	115	0.723265794631
MW794183.1_Array_1	115	0.723265794631
MW794188.1_Array_1	115	0.723265794631
MW794190.1_Array_1	115	0.723265794631
