Array	IIC_Bacteroidota_motif_4_1	IIC_Bacteroidota_motif_4_1_pvalue
HQ641352.1_Array_1	110	0.440251936996
HQ641354.1_Array_1	110	0.440251936996
MH310933.1_Array_1	110	0.440251936996
MH310934.1_Array_1	110	0.440251936996
MH310935.1_Array_1	110	0.440251936996
MN419153.1_Array_1	110	0.440251936996
MW794140.1_Array_1	110	0.440251936996
MW794150.1_Array_1	110	0.440251936996
MW794151.1_Array_1	110	0.440251936996
MW794152.1_Array_1	110	0.440251936996
MW794153.1_Array_1	110	0.440251936996
MW794154.1_Array_1	110	0.440251936996
MW794155.1_Array_1	110	0.440251936996
MW794156.1_Array_1	110	0.440251936996
MW794157.1_Array_1	110	0.440251936996
MW794158.1_Array_1	110	0.440251936996
MW794159.1_Array_1	110	0.440251936996
MW794160.1_Array_1	110	0.440251936996
MW794161.1_Array_1	110	0.440251936996
MW794162.1_Array_1	110	0.440251936996
MW794163.1_Array_1	110	0.440251936996
MW794164.1_Array_1	110	0.440251936996
MW794165.1_Array_1	110	0.440251936996
MW794166.1_Array_1	110	0.440251936996
MW794167.1_Array_1	110	0.440251936996
MW794168.1_Array_1	110	0.440251936996
MW794169.1_Array_1	110	0.440251936996
MW794170.1_Array_1	110	0.440251936996
MW794171.1_Array_1	110	0.440251936996
MW794172.1_Array_1	110	0.440251936996
MW794173.1_Array_1	110	0.440251936996
MW794176.1_Array_1	110	0.440251936996
MW794177.1_Array_1	110	0.440251936996
MW794179.1_Array_1	110	0.440251936996
MW794180.1_Array_1	110	0.440251936996
MW794182.1_Array_1	110	0.440251936996
MW794183.1_Array_1	110	0.440251936996
MW794188.1_Array_1	110	0.440251936996
MW794190.1_Array_1	110	0.440251936996
