Array	IIC_Bacteroidota_motif_2_1	IIC_Bacteroidota_motif_2_1_pvalue
HQ641352.1_Array_1	89	0.556641619416
HQ641354.1_Array_1	89	0.556641619416
MH310933.1_Array_1	89	0.556641619416
MH310934.1_Array_1	89	0.556641619416
MH310935.1_Array_1	89	0.556641619416
MN419153.1_Array_1	89	0.556641619416
MW794140.1_Array_1	89	0.556641619416
MW794150.1_Array_1	89	0.556641619416
MW794151.1_Array_1	89	0.556641619416
MW794152.1_Array_1	89	0.556641619416
MW794153.1_Array_1	89	0.556641619416
MW794154.1_Array_1	89	0.556641619416
MW794155.1_Array_1	89	0.556641619416
MW794156.1_Array_1	89	0.556641619416
MW794157.1_Array_1	89	0.556641619416
MW794158.1_Array_1	89	0.556641619416
MW794159.1_Array_1	89	0.556641619416
MW794160.1_Array_1	89	0.556641619416
MW794161.1_Array_1	89	0.556641619416
MW794162.1_Array_1	89	0.556641619416
MW794163.1_Array_1	89	0.556641619416
MW794164.1_Array_1	89	0.556641619416
MW794165.1_Array_1	89	0.556641619416
MW794166.1_Array_1	89	0.556641619416
MW794167.1_Array_1	89	0.556641619416
MW794168.1_Array_1	89	0.556641619416
MW794169.1_Array_1	89	0.556641619416
MW794170.1_Array_1	89	0.556641619416
MW794171.1_Array_1	89	0.556641619416
MW794172.1_Array_1	89	0.556641619416
MW794173.1_Array_1	89	0.556641619416
MW794176.1_Array_1	89	0.556641619416
MW794177.1_Array_1	89	0.556641619416
MW794179.1_Array_1	89	0.556641619416
MW794180.1_Array_1	89	0.556641619416
MW794182.1_Array_1	89	0.556641619416
MW794183.1_Array_1	89	0.556641619416
MW794188.1_Array_1	89	0.556641619416
MW794190.1_Array_1	89	0.556641619416
